,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Description
217,0809467623,10.0,"Country Quilts: Styles, Patterns, and Techniques from Past to Present (American Country)",Time Life,1989,Warner Books Inc,http://images.amazon.com/images/P/0809467623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809467623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809467623.01.LZZZZZZZ.jpg,"Shows a variety of traditional American quilts and tells how to buy, display, and store quilts"
218,0810909405,10.0,Flowering trees and shrubs: The botanical paintings of Esther Heins,Judith Leet,1987,Abrams,http://images.amazon.com/images/P/0810909405.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810909405.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810909405.01.LZZZZZZZ.jpg,
219,0810909340,10.0,Fifty Years of American Poetry: Anniversary Volume for the Academy of American Poets,Robert Penn Warren,1984,Harry N Abrams Inc,http://images.amazon.com/images/P/0810909340.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810909340.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810909340.01.LZZZZZZZ.jpg,"This collection of poems by 126 recipients of grants from the Academy of American Poets. This anthology offers a definitive overview of the past five decades of American poetry, encompassing works by Aiken, Auden, Sandburg, Ashbery, Updike, Gilpin, and others."
220,0810909014,10.0,Faeries,David Larkin,1995,Harry N Abrams,http://images.amazon.com/images/P/0810909014.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810909014.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810909014.01.LZZZZZZZ.jpg,"Edited by David Larkin. Two talented artists explore the world of faeries in myths, legends, and folklore."
221,0810908123,10.0,Walt Disney's Treasury of Children's Classics,Walt Disney Productions,1978,Harry N Abrams Inc,http://images.amazon.com/images/P/0810908123.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810908123.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810908123.01.LZZZZZZZ.jpg,"Retells seventeen well-known fairy tales, folk tales, and short stories illustrated with scenes from Walt Disney films. Includes a behind-the-scenes look at the production of animated films."
222,0810908115,10.0,Disneyland: Inside Story,Randy Bright,1987,Harry N Abrams Inc,http://images.amazon.com/images/P/0810908115.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810908115.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810908115.01.LZZZZZZZ.jpg,"Traces the development of Disneyland, and tells the story behind each ride and attraction at the theme park"
223,0810906643,10.0,Broadway musicals,Martin Gottfried,1979,H. N. Abrams,http://images.amazon.com/images/P/0810906643.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810906643.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810906643.01.LZZZZZZZ.jpg,
224,0810834340,10.0,Playin' Around,Jennifer Ember Pierce,1998,Rowman &amp; Littlefield (Non NBN),http://images.amazon.com/images/P/0810834340.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810834340.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810834340.01.LZZZZZZZ.jpg,
225,0810816067,10.0,August Derleth: A Bibliography (Scarecrow Author Bibliographies),Alison Morley Wilson,1983,Rowman &amp; Littlefield Pub Inc,http://images.amazon.com/images/P/0810816067.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810816067.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810816067.01.LZZZZZZZ.jpg,
226,0810311488,10.0,"Beats: Literary Bohemians in Postwar America (Dictionary of Literary Biography, V. 16)",Ann Charters,1983,Gale Group,http://images.amazon.com/images/P/0810311488.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810311488.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810311488.01.LZZZZZZZ.jpg,
227,0810200627,10.0,Adventures of Huckleberry Finn,Mark Twain,1962,Harpercollins Juvenile Books,http://images.amazon.com/images/P/0810200627.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810200627.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810200627.01.LZZZZZZZ.jpg,
228,0810140004,10.0,Improvisation for the Theater: A Handbook of Teaching and Directing Techniques,Viola Spolin,1983,Northwestern Univ Pr,http://images.amazon.com/images/P/0810140004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810140004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810140004.01.LZZZZZZZ.jpg,Theory and foundation - Exercises - Children and the theatre - The formal theatre_
229,0810112787,10.0,Closely Watched Trains (European Classics),Bohumil Hrabal,1995,Northwestern,http://images.amazon.com/images/P/0810112787.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810112787.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810112787.01.LZZZZZZZ.jpg,"Hrabal's postwar classic about a young man's coming of age in German-occupied Czechoslovakia is among his most beloved and accessible works. Closely Watched Trains is the subtle and poetic portrait of Milos Hrma, a timid young railroad apprentice who insulates himself with fantasy against a reality filled with cruelty and grief. Day after day as he watches trains fly by, he torments himself with the suspicion that he himself is being watched and with fears of impotency. Hrma finally affirms his manhood and, with a sense of peace and purpose he has never known before, heroically confronts a trainload of Nazis."
230,0810101394,10.0,A Walk in the Night and Other Stories,Alex LA Guma,1985,Northwestern University Press,http://images.amazon.com/images/P/0810101394.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810101394.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810101394.01.LZZZZZZZ.jpg,"Of French and Malagasy stock, involved in South African politics from an early age, Alex La Guma was arrested for treason with 155 others in 1956 and finally acquitted in 1960. During the State of Emergency following the Sharpeville massacre he was detained for five months. Continuing to write, he endured house arrest and solitary confinement. La Guma left South Africa as a refugee in 1966 and lived in exile in London and Havana. He died in 1986. A Walk in the Night and Other Stories reveals La Guma as one of the most important African writers of his time. These works reveal the plight of non-whites in apartheid South Africa, laying bare the lives of the poor and the outcasts who filled the ghettoes and shantytowns."
231,0809498707,10.0,Incas: Lords of Gold and Glory (Lost Civilizations),Dale Brown,1992,Time-Life Books,http://images.amazon.com/images/P/0809498707.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809498707.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809498707.01.LZZZZZZZ.jpg,Offers a history of the Inca Empire and chronicles Incan life through the archaeological discoveries found in the Andes Mountains.
232,0809498545,10.0,"Aztecs: Reign of Blood and Splendor (Lost Civilizations, No. 2)",Dale Brown,1992,Time-Life Books,http://images.amazon.com/images/P/0809498545.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809498545.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809498545.01.LZZZZZZZ.jpg,"Detailed essays, extensive photos, and informative sidebars describe life in ancient Aztec civilization, showing the results of significant archaeological digs; also includes a time line and a bibliography."
233,0809498502,10.0,Egypt: Land of the Pharaohs (Lost Civilizations),Time-Life Books,1992,Time-Life Books,http://images.amazon.com/images/P/0809498502.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809498502.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809498502.01.LZZZZZZZ.jpg,Examines the civilization and history of ancient Egypt.
234,0809494701,10.0,Simple Experiments (A Child's First Library of Learning),Time-Life Books,1994,Time-Life Books,http://images.amazon.com/images/P/0809494701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809494701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809494701.01.LZZZZZZZ.jpg,
235,0809494620,10.0,"Geography (A Child's First Library of Learning, Vol. 21)",Karin Kinney,1994,Time-Life Books,http://images.amazon.com/images/P/0809494620.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809494620.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809494620.01.LZZZZZZZ.jpg,"Through easy-to-read questions and answers, readers learn about maps of the world, and what they reveal about earth's people and resources. Includes charts, diagrams, and an activity section."
236,080949454X,10.0,Inventions (A Child's First Library of Learning),Jean Crawford,1994,Time-Life Books,http://images.amazon.com/images/P/080949454X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080949454X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080949454X.01.LZZZZZZZ.jpg,
237,0809478080,10.0,Mrs. Fields I Love Chocolate! Cookbook: 100 Easy &amp; Irresistible Recipes,Debbi Fields,1994,Time-Life Books,http://images.amazon.com/images/P/0809478080.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809478080.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809478080.01.LZZZZZZZ.jpg,This book includes recipes for chocolate desserts created by the Mrs. Fields of cookie fame.
238,0809415275,10.0,Loggers (Kivar),Richard Williams,1976,Warner Books Inc,http://images.amazon.com/images/P/0809415275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809415275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809415275.01.LZZZZZZZ.jpg,"By the editors of Time-Life Books, with text by Richard L. Williams."
239,0809415100,10.0,Ranchers,Ogden Tanner,1977,Warner Books Inc,http://images.amazon.com/images/P/0809415100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809415100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809415100.01.LZZZZZZZ.jpg,
240,080761291X,10.0,Jazz,Henri Matisse,1992,George Braziller,http://images.amazon.com/images/P/080761291X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080761291X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080761291X.01.LZZZZZZZ.jpg,"This selection from Matisse’s masterpiece is available again to coincide with the major Cut-Outs exhibitions at The Tate and MoMA in 2014. Late in his life, confined to a chair or bed, Matisse transformed a simple technique into a medium for the creation of a major art. “I have attained a form filtered to its essentials.” Cutting dynamic shapes from painted paper, Matisse created his images. While producing pieces for Jazz, the artist used a large brush to write notes to himself on construction paper. The simple visual appearance of the words pleased Matisse, and he suggested using his reflective handwritten thoughts in juxtaposition with the images. The original edition of Jazz was an artist’s book, printed in a limited quantity. This selection from the original is an exquisite suite of color plates and text that, like the music it was named for, was invented in a spirit of improvisation and spontaneity. These magnificent cut-outs of pure color celebrate the radiance and emotional intensity of the artist’s oeuvre."
241,0808586998,10.0,Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,1999,Sagebrush Bound,http://images.amazon.com/images/P/0808586998.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0808586998.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0808586998.01.LZZZZZZZ.jpg,A writer's view on life and art are revealed during his attempts to edit the children's classic.
242,0808577697,10.0,The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,1999,Sagebrush Bound,http://images.amazon.com/images/P/0808577697.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0808577697.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0808577697.01.LZZZZZZZ.jpg,"For use in schools and libraries only. Examines the history of speculative thought by focusing on such dominant personalities as Plato, Bacon, Spinoza, Kant, Schopenhauer, and Nietzsche."
243,0808520903,10.0,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,1999,Sagebrush Bound,http://images.amazon.com/images/P/0808520903.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0808520903.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0808520903.01.LZZZZZZZ.jpg,Second volume of The Lord Of The Rings trilogy.
244,0808519387,10.0,Fountainhead,Ayn Rand,1999,Sagebrush Bound,http://images.amazon.com/images/P/0808519387.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0808519387.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0808519387.01.LZZZZZZZ.jpg,"For use in schools and libraries only. The story of a gifted architect, his struggle against conventional standards, and his violent love affair."
245,0808504282,10.0,Insects (Golden Guide),Herbert Zim,1999,Econo-Clad Books,http://images.amazon.com/images/P/0808504282.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0808504282.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0808504282.01.LZZZZZZZ.jpg,Discusses many kinds of insects.
246,0807841927,10.0,"Wild Flowers of North Carolina: Also covering Virginia, South Carolina, and areas of Georgia, Tennessee, Kentucky, West Virginia, Maryland, and Delaware",William S. Justice,1987,University of North Carolina Press,http://images.amazon.com/images/P/0807841927.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807841927.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807841927.01.LZZZZZZZ.jpg,"Offers color photographs, descriptions, and factual information about native flowers of the American Southeast."
247,0807841897,10.0,"Carolina Cradle: Settlement of the Northwest Carolina Frontier, 1747-1762",Robert W. Ramsey,1987,University of North Carolina Press,http://images.amazon.com/images/P/0807841897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807841897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807841897.01.LZZZZZZZ.jpg,"This account of the settlement of one segment of the North Carolina frontier--the land between the Yadkin and Catawba rivers--examines the process by which the piedmont South was populated. Through its ingenious use of hundreds of sources and documents, R"
248,080773800X,10.0,"We Can't Teach What We Don't Know: White Teachers, Multiracial Schools (Multicultural Education Series (New York, N.Y.).)",Gary R. Howard,1999,Teachers College Press,http://images.amazon.com/images/P/080773800X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080773800X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080773800X.01.LZZZZZZZ.jpg,"Howard chooses to examine what it means to mean culturally cometent in racially diverse schools. Topics include social dominance and the reality of change, how white teachers can decode and diffuse dominance issues in favor of diversity, and helping white students transform their own racial identity."
249,0807611956,10.0,Hokusai: One Hundred Views of Mt Fuji,Henry II Smith,1988,George Braziller,http://images.amazon.com/images/P/0807611956.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807611956.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807611956.01.LZZZZZZZ.jpg,
250,0809414988,10.0,Rivermen,Paul O'Neil,1975,Warner Books Inc,http://images.amazon.com/images/P/0809414988.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809414988.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809414988.01.LZZZZZZZ.jpg,
251,0807611379,10.0,Witchcraft at Salem,Chadwick Hansen,1985,George Braziller,http://images.amazon.com/images/P/0807611379.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807611379.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807611379.01.LZZZZZZZ.jpg,
252,0807565318,10.0,"The Pilgrim Village Mystery (The Boxcar Children Special, Book 5)",Gertrude Chandler Warner,1995,Albert Whitman &amp; Company,http://images.amazon.com/images/P/0807565318.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807565318.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807565318.01.LZZZZZZZ.jpg,"When the Alden children spend a week visiting at Pilgrim Village, they uncover the mystery behind the unusual happenings at the historic site."
253,0807533424,10.0,"The Hockey Mystery (Boxcar Children Mysteries, 80)",Gertrude Chandler Warner,2000,Albert Whitman &amp; Company,http://images.amazon.com/images/P/0807533424.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807533424.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807533424.01.LZZZZZZZ.jpg,"When a professional hockey player comes to Greenfield with plans to build an ice skating rink, the Alden children suspect that someone in town wants to stop the project."
254,0807528374,10.0,Gertrude Chandler Warner and the Boxcar Children,Mary Ellen Ellsworth,1997,Albert Whitman &amp; Company,http://images.amazon.com/images/P/0807528374.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807528374.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807528374.01.LZZZZZZZ.jpg,"This biography talks about Gertrude Chandler Warner's childhood living across the street from the railroad tracks, her bouts with poor health, and her rewarding teaching career. It also tells about her inspiration for The Boxcar Children."
255,080750856X,10.0,The Boxcar Children Cookbook,Diane Blain,1991,Albert Whitman &amp; Company,http://images.amazon.com/images/P/080750856X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080750856X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080750856X.01.LZZZZZZZ.jpg,
256,0807504777,10.0,At Grandma and Grandpa's House,Ruth Hooker,1986,Albert Whitman &amp; Co,http://images.amazon.com/images/P/0807504777.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807504777.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807504777.01.LZZZZZZZ.jpg,
257,0807281530,10.0,Wayside School Gets a Little Stranger,Louis Sachar,1999,Listening Library,http://images.amazon.com/images/P/0807281530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807281530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807281530.01.LZZZZZZZ.jpg,
258,0807127914,10.0,Dagon (Voices of the South),Fred Chappell,2002,Louisiana State University Press,http://images.amazon.com/images/P/0807127914.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807127914.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807127914.01.LZZZZZZZ.jpg,
259,0807125970,10.0,"The Politics of Rage: George Wallace, the Origins of the New Conservatism, and the Transformation of American Politics",Dan T. Carter,2000,Louisiana State University Press,http://images.amazon.com/images/P/0807125970.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807125970.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807125970.01.LZZZZZZZ.jpg,
260,0809013037,10.0,Dwarf,Lagerkvi,0,Hill &amp; Wang,http://images.amazon.com/images/P/0809013037.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809013037.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809013037.01.LZZZZZZZ.jpg,
261,0809015498,10.0,The Big Sea : An Autobiography (American Century),Langston Hughes,1993,Hill &amp; Wang Pub,http://images.amazon.com/images/P/0809015498.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809015498.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809015498.01.LZZZZZZZ.jpg,The Black writer recalls his early years spent in Paris and Harlem of the Twenties
262,0809016044,10.0,"Lyndon Johnson's War: America's Cold War Crusade in Vietnam, 1945-1968 (Critical Issue)",Michael H. Hunt,1997,Hill &amp; Wang,http://images.amazon.com/images/P/0809016044.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809016044.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809016044.01.LZZZZZZZ.jpg,
263,0809101742,10.0,Hope for the Flowers,Trina Paulus,1973,Paulist Press,http://images.amazon.com/images/P/0809101742.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809101742.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809101742.01.LZZZZZZZ.jpg,
264,0809414643,10.0,Soldiers Old West,Time Life Ed,0,Time Life+ Books Inc,http://images.amazon.com/images/P/0809414643.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809414643.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809414643.01.LZZZZZZZ.jpg,"Pictorial survey of the U.S. Army soldier's daily life in the early West, his Indian wars, Custer's last stand, etc."
265,0809325500,10.0,Harry Truman and Civil Rights: Moral Courage and Political Risks,Michael R. Gardner,2003,Southern Illinois University Press,http://images.amazon.com/images/P/0809325500.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809325500.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809325500.01.LZZZZZZZ.jpg,"A new treatment of the life of Harry S Truman reveals a man of remarkable moral courage who defied the prejudice of his home state, Missouri, and the familial tug of his slave-owning grandparents to become an early supporter of civil rights. Reprint. (History)"
266,0809299054,10.0,I Was a Fugitive from a Hollywood Trivia Factory : A Book of Hollywood Trivia Lists,Aubrey  Dillon-Malone,2000,McGraw-Hill,http://images.amazon.com/images/P/0809299054.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809299054.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809299054.01.LZZZZZZZ.jpg,"For all fans wondering which torrid affairs started on the sets of their favorite movies or which authors wrote best with a bottle in hand -- and other unusual and obscure factoids -- these two companion books will satisfy even the most voracious film and fiction trivia buff. Each book has more than 300 fascinating lists that reveal behind-the-scenes, little-known facts about our favorite movie stars and celebrated scribes. Packed with outrageous facts and tantalizing tidbits of gossip from the celluloid world, a place where a sheep castrator can become a swashbuckling hero (Errol Flynn) and a man from Transylvania would come to play a man from Transylvania (Bela Lugosi)."
267,0809299046,10.0,Stranger Than Fiction: A Book of Literary Lists,Aubrey Dillon-Malone,2000,McGraw-Hill/Contemporary Books,http://images.amazon.com/images/P/0809299046.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809299046.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809299046.01.LZZZZZZZ.jpg,"With more than 300 fascinating lists that reveal behind-the-scenes, little-known facts about favorite movie stars and celebrated scribes, this book would satisfy even the most voracious film and fiction trivia buff."
268,0809295288,10.0,The Healing Promise of Qi: Creating Extraordinary Wellness Through Qigong and Tai Chi,Roger  Jahnke,2002,McGraw-Hill/Contemporary Books,http://images.amazon.com/images/P/0809295288.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809295288.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809295288.01.LZZZZZZZ.jpg,
269,0809281228,10.0,Loretta Lynn: Coal Miner's Daughter,Loretta. Lynn,1978,Bbs Pub Corp,http://images.amazon.com/images/P/0809281228.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809281228.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809281228.01.LZZZZZZZ.jpg,"The award-winning country singer marks out the roads she's travelled and the stages she's sung on, moving on from Butcher Holler, Kentucky's coal hills to Nashville's Grand Ole Opry"
270,0809254166,10.0,The Nautilus book,Ellington Darden,1985,McGraw-Hill/Contemporary Books,http://images.amazon.com/images/P/0809254166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809254166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809254166.01.LZZZZZZZ.jpg,
271,0809251531,10.0,Written in My Soul: Rock's Great Songwriters...Talk About Creating Their Music,Bill Flanagan,1986,McGraw-Hill,http://images.amazon.com/images/P/0809251531.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809251531.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809251531.01.LZZZZZZZ.jpg,"A book of conversations with rock & roll's greatest singers/songwriters which tells with candor the inside story of rock in the words of the men and women who created the music. Combines oral history and pop art critique, as well as gossip magazine and instruction manual."
272,0809245353,10.0,Diana: An Intimate Portrait,Ingrid Seward,1988,McGraw-Hill,http://images.amazon.com/images/P/0809245353.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809245353.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809245353.01.LZZZZZZZ.jpg,"Provides a colorful portrait of the twenty-seven-year-old future queen of England--the clubs she frequents, the company she keeps, her volatile relationship with Charles, and other details of the full life she leads as princess, mother, wife, and royal ce"
273,0809242583,10.0,Zoo: A Behind-The-Scenes Look at the Animals and the People Who Care for Them,Don Gold,1989,McGraw-Hill,http://images.amazon.com/images/P/0809242583.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809242583.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809242583.01.LZZZZZZZ.jpg,"A popular account of the animals of the Lincoln Park Zoo (Chicago), and their keepers. Lacks both bibliography and index. Illustrations restricted to a few sketches. Annotation copyrighted by Book News, Inc., Portland, OR"
274,0809238209,10.0,101 Ways to Be a Special Dad,Vicki  Lansky,1993,McGraw-Hill/Contemporary Books,http://images.amazon.com/images/P/0809238209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809238209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809238209.01.LZZZZZZZ.jpg,"Features tips for entertaining children, including taking a child to work for the day, reading the funnies together, planting a tree, and more"
275,0809237601,10.0,The Northern Exposure Cookbook: A Community Cookbook from the Heart of the Alaskan Riviera,Ellis Weiner,1993,McGraw Hill - NTC,http://images.amazon.com/images/P/0809237601.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809237601.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809237601.01.LZZZZZZZ.jpg,
276,0809224283,10.0,Edward &amp; Sophie: A Royal Wedding,Judy Parkinson,1999,McGraw-Hill,http://images.amazon.com/images/P/0809224283.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809224283.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809224283.01.LZZZZZZZ.jpg,"Illustrates the lives, courtship and marriage of Prince Edward and his bride, Sophie Rhys-Jones."
277,0809135043,10.0,Water from the Rock: Finding Grace in Times of Grief,Lyn M. Fraser,1994,Paulist Press,http://images.amazon.com/images/P/0809135043.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809135043.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809135043.01.LZZZZZZZ.jpg,"Conveys, through the psalms, a message of compassion, support, and hope while acknowledging the intense pain of grieving."
278,0809134535,10.0,A Counselor's Prayer Book,Kathleen Fischer,1994,Paulist Press,http://images.amazon.com/images/P/0809134535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809134535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809134535.01.LZZZZZZZ.jpg,
279,0809129590,10.0,Too Deep for Words: Rediscovering Lectio Divina,Thelma Hall,1988,Paulist Press,http://images.amazon.com/images/P/0809129590.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809129590.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809129590.01.LZZZZZZZ.jpg,
280,0809128780,10.0,"Catholic Christianity: A Guide to the Way, the Truth, and the Life",Richard Chilson,1987,Paulist Press,http://images.amazon.com/images/P/0809128780.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809128780.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809128780.01.LZZZZZZZ.jpg,"When Thomas asked him 'How can we know the way?' Jesus replied, 'I am the way, the truth and the life.' This book will serve as a guide for all who seek to walk with Jesus on their Christian journey. This book gradually leads one through the many layers of Catholic Christianity as the way, the truth and the life."
281,0809121379,10.0,The practice of the presence of God (The Spiritual masters series),Lawrence,1978,Paulist Press,http://images.amazon.com/images/P/0809121379.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809121379.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809121379.01.LZZZZZZZ.jpg,
282,0809118467,10.0,Inner Healing: Ministering to the Human Spirit Through the Power of Prayer,Michael Scanlan,1974,Paulist Pr,http://images.amazon.com/images/P/0809118467.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809118467.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809118467.01.LZZZZZZZ.jpg,
283,0810909553,10.0,Giants,Julek Heller,1985,Harry N Abrams Inc,http://images.amazon.com/images/P/0810909553.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810909553.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810909553.01.LZZZZZZZ.jpg,"Profusely illustrated text discusses the giants of mythology, folklore, and fiction"
284,0810909685,10.0,The gnomes book of Christmas crafts,Carol Endler Sterbenz,1980,H.N. Abrams,http://images.amazon.com/images/P/0810909685.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810909685.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810909685.01.LZZZZZZZ.jpg,Step-by-step instructions with patterns and diagrams for more than 50 gnome-inspired Christmas decorations and crafts.
