,Book-Author,Description
287,David M. Anderson,
288,Beth Hensperger,
289,Paul Henley,"
Paul Henley is a British radio and television journalist. He has worked for the BBC since 1992 and contributes to programmes such as Crossing Continents for BBC Radio 4. He was a runner up in the Foreign Press Association Awards in 2005. He studied languages at Fitzwilliam College, Cambridge. He began presenting Europe Today on the BBC's World Service in early 2009. Currently he frequently presents Weekend on the BBC World Service."
290,Nick Bantock,"Nick Bantock is a British artist and author based in Saltspring Island, British Columbia, known for his series, The Griffin and Sabine Trilogy. His books are published by Raincoast Books in Canada and Chronicle Books in the United States, and are known for their elaborate designs featuring faux postage stamps, handwritten documents, passports, postcards and other ephemera."
291,Mike Lankford,
292,Tobin Fraley,
293,Jeff M. Sellers,
294,David Fontana,"
David G. J. Fontana FBPsS was a British psychologist, parapsychologist and author. He was a Professor of Psychology at Cardiff University. He was also a visiting professor at Liverpool John Moores University and the University of Algarve."
295,Michael McLaughlin,"Michael McLaughlin may also refer to:Michael McLaughlin (activist), British far-right activist.
Michael McLaughlin (author) (1948–2002), American cookbook writer
Michael McLaughlin (pianist), on the 2003 album The Unknown Masada
Bo McLaughlin, American baseball relief pitcher
Mike McLaughlin, American racing driver
Mike McLaughlin, American football fullback for the Denver Broncos"
296,Lesley Downer,
297,Beth Ashley,"Beth Ashley was an American author and columnist. She wrote for the Marin Independent Journal for over 60 years. In remarks before the United States House of Representatives, Congresswoman Lynn Woolsey stated ""Beth Ashley's work has expressed the heart and soul of Marin County."""
298,Byron Preiss,"Byron Preiss was an American writer, editor, and publisher. He founded and served as president of Byron Preiss Visual Publications, and later of ibooks Inc. Many of his projects were in the forms of graphic novels, comics, illustrated books, and children's books. Beyond traditional printed books, Preiss frequently embraced emerging technologies, and was recognized as a pioneer in digital publishing and as among the first to publish in such formats as CD-ROM books and ebooks."
299,Gustaf Aulen,"Gustaf Emanuel Hildebrand Aulén was the Bishop of Strängnäs in the Church of Sweden, a Lutheran theologian, and the author of Christus Victor, a work which still exerts considerable influence on contemporary theological thinking on the atonement."
300,Gerard Gorman,
301,John Gooders,"John Gooders was a British writer who first came to prominence with his first book Where to Watch Birds. At the time he was a teacher, and a lecturer at Avery Hill College."
302,Sukey Richard,
303,John Eberhart,
304,Alice Beatty,
305,Bradford Angier,Bradford Angier was an American wilderness survivalist and proponent of back-to-earth living. He authored more than 35 books on how to survive in the wild and how to live minimalisticly off the land.
306,Dylan Thomas,"Dylan Marlais Thomas was a Welsh poet and writer whose works include the poems ""Do not go gentle into that good night"" and ""And death shall have no dominion"", as well as the ""play for voices"" Under Milk Wood. He also wrote stories and radio broadcasts such as A Child's Christmas in Wales and Portrait of the Artist as a Young Dog. He became widely popular in his lifetime and remained so after his death at the age of 39 in New York City. By then, he had acquired a reputation, which he had encouraged, as a ""roistering, drunken and doomed poet""."
308,Muriel Spark,"Dame Muriel Sarah Spark was a Scottish novelist, short story writer, poet and essayist."
309,Teruhisa Tajima,
310,Lynn Gordon,
311,Richard E. Albert,
312,Pat Murphy,"Pat Murphy may refer to:Pat Murphy (writer), American science and science-fiction writer
Pat Murphy (catcher) (1857–1927), American baseball player
Pat Murphy (1906–1973), Australian rules footballer with Hawthorn
Pat Murphy, Australian rules footballer with St Kilda
Pat Murphy 
Pat Murphy, American baseball coach
Pat Murphy, American politician
Pat Murphy, member of the Legislative Assembly of Prince Edward Island, from 2007 to 2019
Pat Murphy, British sports writer and broadcaster
Pat Murphy (director), Irish film director
Pat Murphy, Australian rugby union player
Pat Murphy (1896-?), Australian rugby player"
315,Hayde Ardalan,
316,Heather Drake,
317,Lorna J. Sass,
318,Susan Dooley,
319,Barbara Close,
320,Deborah Jackson,"Deborah J. Jackson is an American physicist and Program Manager at the National Science Foundation, and a Fellow of the National Society of Black Physicists. She was the first African American woman to receive a Ph.D. in physics from Stanford University. She is an expert on ""electromagnetic phenomena"" with a research and development career that spans the full range of the electromagnetic spectrum from materials studies using hard x-ray wavelengths, to nonlinear optics and spectroscopy in the near-infrared, to the fielding of radio frequency instrumentation on deep space missions such as Cassini and Mars Observer."
321,Michael Gitter,
322,Maryana Vollstedt,
323,Robin Davis,"Robin Jean Davis is an American jurist who served on the Supreme Court of Appeals of West Virginia. First elected to fill an unexpired term in 1996, Davis later won full twelve-year terms in 2000 and 2012. However, Davis retired before the end of her second full term in August 2018 after the West Virginia House Judiciary Committee named Davis in articles of impeachment during the Impeachment of the Supreme Court of Appeals of West Virginia."
324,Virginia Grossman,
325,Hans Silvester,
326,Eric Sauder,
327,Joyce Esersky Goldstein,
328,Pamela Cain,
329,James R. Richards,James Robert Richards was an American veterinarian who was a noted expert on cats. He headed the Feline Health Center of the Cornell University College of Veterinary Medicine from 1997 until his death.
330,Sheldon L. Gerstenfeld,
332,Gloria Stephens,
333,Lisa Ann Marsoli,
334,Denise Levertov,Priscilla Denise Levertov was a British-born naturalised American poet. She was a recipient of the Lannan Literary Award for Poetry.
336,Ezra Pound,"Ezra Weston Loomis Pound was an expatriate American poet and critic, a major figure in the early modernist poetry movement, and a fascist collaborator in Italy during World War II. His works include Ripostes (1912), Hugh Selwyn Mauberley (1920), and his 800-page epic poem, The Cantos (c. 1917–1962)."
337,Andy Goldsworthy,"Andy Goldsworthy is an English sculptor, photographer, and environmentalist who produces site-specific sculptures and land art situated in natural and urban settings."
338,Theodore James,
339,Jane Lidz,
340,Amelia Peck,
341,Richard Ormond,"Richard Louis Ormond CBE is the former Director of the National Maritime Museum (1986–2000). He was also the Assistant Keeper and late Deputy Director of the National Portrait Gallery. He is currently the Chairman of the Trustees of the Watts Gallery. He is also the Chairman of the Friends of Leighton House and a trustee of the Mariners Museum in Newport News, Virginia. He is also an author and biographer."
342,Carter Houck,
343,Stan Tymorek,
345,Andrew Goldsworthy,"Andy Goldsworthy is an English sculptor, photographer, and environmentalist who produces site-specific sculptures and land art situated in natural and urban settings."
346,Geraldine J. Casper,
347,Geza Von Habsburg-Lothringen,
348,Graeme Base,"Graeme Rowland Base is a British-Australian author and artist of picture books. He is perhaps best known for his second book, Animalia published in 1986, and third book The Eleventh Hour which was released in 1989."
350,Sylvie Patin,Sylvie Patin is a French conservator-restorer of cultural heritage at Musée d'Orsay and art historian specialised in Impressionism.
351,Alexandre Farnoux,"Alexandre Farnoux is a French historian, a specialist on the Minoan civilisation and Delos."
352,Abrams,Abrams may refer to:
353,Lois Sherr Dubin,
354,Lynn Federle Orr,
355,Katie Lee,"Kate or Katie Lee may refer to:Kate Lee (1858–1904)
Kate Lee Ferguson (1841–1928), American novelist, poet, and composer
Kate Lee O'Connor, American singer, songwriter, fiddler
Katie Lee (chef), food critic, chef, and former wife of Billy Joel
Katie Lee (horse), New Zealand Thoroughbred racehorse
Katie Lee (lyricist)
Katie Lee (singer) (1919–2017), American folksinger, actress and writer
Katie Madonna Lee, American screenwriter and filmmaker"
357,Rien Poortvliet,Rien Poortvliet was a Dutch artist and illustrator.
358,Suzy Kalter,
359,Ulysses Grant Dietz,
361,Stevie Smith,"Florence Margaret Smith, known as Stevie Smith, was an English poet and novelist. She won the Cholmondeley Award and was awarded the Queen's Gold Medal for Poetry. A play, Stevie by Hugh Whitemore, based on her life, was adapted into a film starring Glenda Jackson."
362,Brian Froud,"Brian Froud is an English fantasy illustrator and conceptual designer. He is most widely known for his 1978 book Faeries with Alan Lee, and as the conceptual designer of the Jim Henson films The Dark Crystal (1982) and Labyrinth (1986). According to Wired, Froud is ""one of the most pre-emiminent visualizers of the world of faerie and folktale""."
363,Octavio Paz,"Octavio Paz Lozano was a Mexican poet and diplomat. For his body of work, he was awarded the 1977 Jerusalem Prize, the 1981 Miguel de Cervantes Prize, the 1982 Neustadt International Prize for Literature, and the 1990 Nobel Prize in Literature."
366,Hilda Doolittle,"Hilda Doolittle was an American modernist poet, novelist, and memoirist who wrote under the name H.D. throughout her life. Her career began in 1911 after she moved to London and co-founded the avant-garde Imagist group of poets with American expatriate poet and critic Ezra Pound. During this early period, her minimalist free verse poems depicting Classical motifs drew international attention. Eventually distancing herself from the Imagist movement, she experimented with a wider variety of forms, including fiction, memoir, and verse drama. Profoundly affected by her experiences in London during the Blitz, H.D.'s poetic style from World War II until her death pivoted towards complex long poems on esoteric and pacifist themes."
367,Kenneth Rexroth,"Kenneth Charles Marion Rexroth (1905–1982) was an American poet, translator, and critical essayist. He is regarded as a central figure in the San Francisco Renaissance, and paved the groundwork for the movement. Although he did not consider himself to be a Beat poet, and disliked the association, he was dubbed the ""Father of the Beats"" by Time magazine. Largely self-educated, Rexroth learned several languages and translated poems from Chinese, French, Spanish, and Japanese."
368,Wilfred Owen,"Wilfred Edward Salter Owen MC was an English poet and soldier. He was one of the leading poets of the First World War. His war poetry on the horrors of trenches and gas warfare was much influenced by his mentor Siegfried Sassoon and stood in contrast to the public perception of war at the time and to the confidently patriotic verse written by earlier war poets such as Rupert Brooke. Among his best-known works – most of which were published posthumously – are ""Dulce et Decorum est"", ""Insensibility"", ""Anthem for Doomed Youth"", ""Futility"", ""Spring Offensive"" and ""Strange Meeting"". Owen was killed in action on 4 November 1918, a week before the war's end, at the age of 25."
369,Henry Miller,"Henry Valentine Miller was an American novelist. He broke with existing literary forms and developed a new type of semi-autobiographical novel that blended character study, social criticism, philosophical reflection, stream of consciousness, explicit language, sex, surrealist free association, and mysticism. His most characteristic works of this kind are Tropic of Cancer, Black Spring, Tropic of Capricorn, and the trilogy The Rosy Crucifixion, which are based on his experiences in New York and Paris. He also wrote travel memoirs and literary criticism, and painted watercolors."
373,A. Jarry,
374,Charles Baudelaire,"Charles Pierre Baudelaire was a French poet who also worked as an essayist, art critic and translator. His poems exhibit mastery of rhyme and rhythm, contain an exoticism inherited from Romantics, and are based on observations of real life."
375,Patrick McDonnell,"Patrick McDonnell is a cartoonist, author, and playwright. He is the creator of the daily comic strip Mutts, which follows the adventures of a dog and a cat, that has been syndicated since 1994. Prior to creating Mutts, he was a prolific magazine illustrator, and would frequently include a dog in the backgrounds of his drawings."
376,J L Locher,
377,Christopher Finch,Christopher Finch is a New Zealand former cricketer. He played 3 first-class and 24 List A matches for Otago between 1993 and 1996.
378,Christina Hardyment,"Christina Hardyment is a British writer who has written on a wide range of subjects including parenting, food, gardens, children's books, domestic life, and British history."
379,Jane Ashelford,
383,Guillaume de Laubier,
384,Boevey,
385,Charles Reagan Wilson,
386,Gladys-Marie Fry,"Gladys-Marie Fry was Professor Emerita of Folklore and English at the University of Maryland, College Park, Maryland, and a leading authority on African American textiles. Fry earned her bachelor's and master's degrees from Howard University and her Ph.D. from Indiana University. She is the author of Stitched From the Soul: Slave Quilting in the Ante-Bellum South and Night Riders in Black Folk History. A contributor or author to 8 museum catalogs, Fry is also the author of a number of articles and book chapters. Fry has also served as the curator for 11 museum exhibitions and consultant to exhibits and television programs around the nation."
387,Robert G. Lake,
388,Paul Lipari,
389,Armand Eisen,
390,Tom Wilson,"Thomas Wilson, Tom Wilson or Tommy Wilson may refer to:"
391,Laura Gates Galvin,
392,George R Drake,
393,Margaret L. Carter,"Margaret Louise Carter is an American politician who was a Democratic member of the Oregon Legislative Assembly from 1985 to 1999 and 2001 to 2009 and was the first black woman elected to the state's legislature. She served in the Oregon House of Representatives until 1999, and then in the Oregon State Senate from 2001 to 2009. She served as President Pro Tempore of the Senate, Vice Chair for Ways and Means, and as a member of both the Health and Human Services and Oregon State Hospital Patient Care committees. She announced her resignation from the Senate effective August 31, 2009, and took a post as Deputy Director for Human Services Programs at the Oregon Department of Human Services. In 2015, she was reportedly considering a return to the senate."
394,Karen Ralls,
395,Grant Schnarr,
396,Rachel Schaeffer,
397,Jean Houston,"Jean Houston is an American author involved in the human potential movement. Along with her husband, Robert Masters, she co-founded the Foundation for Mind Research."
398,Karl Marx,"Karl Heinrich Marx was a German-born philosopher, economist, historian, sociologist, political theorist, journalist, critic of political economy, and socialist revolutionary. His best-known titles are the 1848 pamphlet The Communist Manifesto and the four-volume Das Kapital (1867–1883). Marx's political and philosophical thought had enormous influence on subsequent intellectual, economic, and political history. His name has been used as an adjective, a noun, and a school of social theory."
399,Dayle M Bethel,
400,Mangajin,"Mangajin was a monthly English-language magazine for students of Japanese language and culture by Mangajin, Inc. It was distinct from many other magazines of its type in that it unabashedly embraced Japanese popular culture as a learning tool and a route towards rapid acclimation into Japanese society. Each issue featured selections from various popular manga translated into English with detailed cultural and linguistic commentary."
401,Daisaku Ikeda,"Daisaku Ikeda  is a Japanese Buddhist philosopher, educator, author, and nuclear disarmament advocate. He served as the third president and then honorary president of the Soka Gakkai, the largest of Japan's new religious movements. Ikeda is the founding president of the Soka Gakkai International (SGI), the world's largest Buddhist lay organization, which claims to have approximately 12 million practitioners in 192 countries and territories, more than 1.5 million of whom reside outside of Japan as of 2012."
402,Josef Derbolav,
403,Rene Huyghe,"René Huyghe was a French writer on the history, psychology and philosophy of art. He was also a curator at the Louvre's department of paintings, a professor at the Collège de France and from 1960 a member of the Académie Française. He was the father of the writer François-Bernard Huyghe."
409,Cathy Guisewite,"Cathy Lee Guisewite is an American cartoonist who created the comic strip Cathy, which had a 34-year run. The strip focused on a career woman facing the issues and challenges of eating, work, relationships, and having a mother—or as the character put it in one strip, ""the four basic guilt groups."""
410,Bill Watterson,"William Boyd Watterson II is an American cartoonist and the author of the comic strip Calvin and Hobbes, which was syndicated from 1985 to 1995. Watterson stopped drawing Calvin and Hobbes at the end of 1995, with a short statement to newspaper editors and his readers that he felt he had achieved all he could in the medium. Watterson is known for his negative views on comic syndication and licensing, his efforts to expand and elevate the newspaper comic as an art form, and his move back into private life after he stopped drawing Calvin and Hobbes. Watterson was born in Washington, D.C., and grew up in Chagrin Falls, Ohio. The suburban Midwestern United States setting of Ohio was part of the inspiration for Calvin and Hobbes."
413,Mary Engelbreit,"Mary Engelbreit is an artist whose illustrations have been printed in books, cards and calendars."
414,E.T.A. Hoffman,"Ernst Theodor Amadeus Hoffmann was a German Romantic author of fantasy and Gothic horror, a jurist, composer, music critic and artist. His stories form the basis of Jacques Offenbach's opera The Tales of Hoffmann, in which Hoffmann appears as the hero. He is also the author of the novella The Nutcracker and the Mouse King, on which Pyotr Ilyich Tchaikovsky's ballet The Nutcracker is based. The ballet Coppélia is based on two other stories that Hoffmann wrote, while Schumann's Kreisleriana is based on Hoffmann's character Johannes Kreisler."
415,Jennifer Greenway,
420,Mark Hoff,
421,Teresa Celsi,
426,Ariel Books,"Farrar, Straus and Giroux (FSG) is an American book publishing company, founded in 1946 by Roger Williams Straus Jr. and John C. Farrar. FSG is known for publishing literary books, and its authors have won numerous awards, including Pulitzer Prizes, National Book Awards, and Nobel Prizes. As of 2016 the publisher is a division of Macmillan, whose parent company is the German publishing conglomerate Holtzbrinck Publishing Group."
427,David Sheldon,"David Sheldon may refer to:David Sheldon (wrestler) (1953–2007), American professional wrestler, better known by his ring name Angel of Death
David Newton Sheldon (1807–1889), president of Colby College, Maine, United States
David Sheldon, character in Adventure
David Sheldon (director) of Peopletoys
Mac Lethal, rapper"
428,Steve Henry,"Steve Henry is an American politician and orthopedic surgeon who was the 52nd Lieutenant Governor of Kentucky from 1995 through 2003. He twice ran unsuccessfully in statewide elections, finishing third in Democratic primaries for the United States Senate in 1998 and for Governor of Kentucky in 2007."
432,Lynn Johnston,"Lynn Johnston is a Canadian cartoonist and author, best known for her newspaper comic strip For Better or For Worse. She was the first woman and first Canadian to win the National Cartoonist Society's Reuben Award."
433,Bill Amend,William J. C. Amend III is an American cartoonist. He is known for his comic strip FoxTrot.
436,Harry Crews,"Harry Eugene Crews was an American novelist, short story writer, and essayist. He often made use of violent, grotesque characters and set them in regions of the Deep South."
437,Henrietta C. Mears,
438,Linda Fraser,"Linda Mary Fraser is a New Zealand former cricketer who played as a left-arm medium bowler. She appeared in 3 Test matches and 13 One Day Internationals for New Zealand between 1982 and 1987. She played domestic cricket for Auckland, Central Districts, Wellington and North Shore."
439,Jane Newdick,
440,Virginia Satir,"Virginia Satir was an American author and psychotherapist, recognized for her approach to family therapy. Her pioneering work in the field of family reconstruction therapy honored her with the title ""Mother of Family Therapy"". Her most well-known books are Conjoint Family Therapy, 1964, Peoplemaking, 1972, and The New Peoplemaking, 1988."
441,Mark Eddy Smith,
442,M. Craig Barnes,M. Craig Barnes is an American Presbyterian minister and professor who serves as president of Princeton Theological Seminary.
443,Dale Larsen,
444,Lionel Basney,"Lionel Basney was a poet and professor of English at Calvin College in Grand Rapids, Michigan. Prior to his time at Calvin, Basney taught at Houghton College, where his father also taught before him. Basney was interested in Samuel Johnson, William Shakespeare, and Ned Ludd and the origins of the Luddite movement. He was the author of An Earth-Careful Way of Life: Christian Stewardship and the Environmental Crisis. Wendell Berry's Life is a Miracle: An Essay Against Modern Superstition is dedicated to Basney."
445,Fritz Ridenour,
446,Elizabeth Alves,
447,H. Norman Wright,
448,"Don, Richardson",
449,Linda Bove,"Linda Bove Waterstreet is a Deaf American actress, her most notable role being a fictionalized version of herself in the PBS children's series Sesame Street from 1971 to 2002. Bove was the first Deaf actress to be a member of the program's recurring cast."
450,Bill Gray,"William, Willie, Bill, or Billy Gray may refer to:"
451,Gordon  McComb,Gordon Bayard McComb was an American professional basketball player. He played in the National Basketball League for the Hammond Ciesar All-Americans in two games and averaged 1.5 points per game.
452,Rudolf F. Graf,
453,Keith R. Laux,
454,Cornell Drentea,
455,Lisa Isherwood,
456,International Bible Society,"Biblica, formerly International Bible Society, was founded in 1809 and is the worldwide copyright holder of the New International Version of the Bible (NIV), licensing commercial rights to Zondervan in the United States and to Hodder & Stoughton in the United Kingdom. Biblica is also a member of the Forum of Bible Agencies International and Every Tribe Every Nation."
457,Michael J. Daley,
458,Bert Ghezzi,
459,Kevin Perrotta,
460,Margaret Tarrant,"Margaret Winifred Tarrant was an English illustrator, and children's author, specializing in depictions of fairy-like children and religious subjects. She began her career at the age of 20, and painted and published into the early 1950s. She was known for her children's books, postcards, calendars, and print reproductions."
461,Solene T. Morris,
463,Bridget Jones,"Bridget Rose Jones is a fictional character created by British writer Helen Fielding. Jones first appeared in Fielding's Bridget Jones's Diary column in The Independent in 1995, which did not carry any byline. Thus, it seemed to be an actual personal diary chronicling the life of Jones as a thirtysomething single woman in London as she tries to make sense of life, love, and relationships with the help of a surrogate ""urban family"" of friends in the 1990s. The column was, in fact, a lampoon of women's obsession with love, marriage and romance as well as women's magazines such as Cosmopolitan and wider social trends in Britain at the time. Fielding published the novelisation of the column in 1996, followed by a sequel in 1999 called The Edge of Reason."
464,V. C. Andrews,"Cleo Virginia Andrews, better known as V. C. Andrews or Virginia C. Andrews, was an American novelist."
465,Robert Fulghum,Robert Lee Fulghum is an American author and Unitarian Universalist minister.
467,Richard P. Smith,
468,Tom Rosenbauer,"Tom Rosenbauer is a fly fishing mentor and author who currently works and resides in the Manchester, Vermont area. He has published books for Orvis, which he has been with for over 30 years."
469,Culinary Arts Institute,
470,Pat Ward Thomas,
471,Mitzi Bales,
472,Carole Chester,
473,Jill Bailey,
474,Gunter Ziesler,
475,Giorgio Panini,
476,Brian Jones,"Lewis Brian Hopkin Jones was an English multi-instrumentalist and singer best known as the founder, rhythm/lead guitarist, and original leader of the Rolling Stones. Initially a guitarist, he went on to provide backing vocals and played a wide variety of instruments on Rolling Stones recordings and in concerts."
477,Anness Publishing,
478,Belinda Thomson,
479,James Ryan,James Ryan may refer to:
480,Maggie Jones,"Margaret or Maggie Jones may refer to:Maggie Jones, Baroness Jones of Whitchurch, British Labour politician
Maggie Jones (actress) (1934–2009), British actress 
Maggie Jones (1894–?), American blues singer and pianist
Margaret B. Jones, pseudonym of Margaret Seltzer, American writer of a discredited autobiography
Margaret Jones (journalist) (1923–2006), Australian journalist
Margaret Jones (1613–1648), first person to be executed for witchcraft in Massachusetts Bay Colony
Margaret Jones (writer) (1842–1902), Welsh travel writer
Maggie Elizabeth Jones, American child actress
Margaret Ursula Jones (1916–2001), British archaeologist"
481,Arthur Cotterell,
482,Roger Ebert,"Roger Joseph Ebert was an American film critic, film historian, journalist, screenwriter, and author. He was a film critic for the Chicago Sun-Times from 1967 until his death in 2013. In 1975, Ebert became the first film critic to win the Pulitzer Prize for Criticism. Neil Steinberg of the Chicago Sun-Times said Ebert ""was without question the nation's most prominent and influential film critic,"" and Kenneth Turan of the Los Angeles Times called him ""the best-known film critic in America."""
484,Mel Gibson,"Mel Columcille Gerard Gibson is an American actor and film director. He is best known for his action hero roles, particularly his breakout role as Max Rockatansky in the first three films of the post-apocalyptic action series Mad Max and as Martin Riggs in the buddy cop action-comedy film series Lethal Weapon."
485,Tyndale,"William Tyndale was an English biblical scholar and linguist who became a leading figure in the Protestant Reformation in the years leading up to his execution. He is well known as a translator of the Bible into English, and was influenced by the works of prominent Protestant Reformers such as Martin Luther."
486,Vonette Bright,"Vonette Zachary Bright was an American author, speaker, and the co-founder of Cru."
487,Bruce B. Barton,
488,Sigmund Brouwer,"Sigmund Brouwer is a prolific Canadian author of children's, young adult, and adult books. He has over 100 titles and four million books in print."
489,James H. Pence,
490,Grace Livingston Hill,Grace Livingston Hill was an early 20th-century novelist and wrote both under her real name and the pseudonym Marcia Macdonald. She wrote over 100 novels and numerous short stories. Her characters were most often young Christian women or become Christians within the confines of the story.
491,Lois Richer,
492,Jerry Jenkins,"Jerry Bruce Jenkins is an American writer. He is best known for the Left Behind series, written with Tim LaHaye. Jenkins has written more than 200 books, in multiple genres, such as biography, self-help, romance, mystery, and young adult fiction. Nineteen of his 130+ novels have explored eschatological themes and settings."
493,Laurie Winslow Sargent,
494,Jake Thoene,
495,Tom Cross,"Thomas or Tom Cross may refer to:Thomas Cross (engraver), 17th-century English engraver and music publisher
Tom Cross, American television and film editor
Tom Cross (politician), Republican member of the Illinois House of Representatives
Tom Cross, American computer security expert and hacker
Tom Cross (rugby) (1876–1930), New Zealand dual-code rugby footballer
Tom Cross (fencer), Australian Olympic fencer
Tom Peete Cross (1879–1951), American Celticist"
496,Randy Alcorn,
497,Anne De Graaf,
498,Daryl Lucas,
499,Sanford Hull,
501,Max Lucado,"Max Lucado is an American author and minister at Oak Hills Church in San Antonio, Texas."
502,Kurt D. Bruner,
503,Cindy McCormick Martinusen,
504,Bodie Thoene,"Bodie and Brock Thoene are an American husband-and-wife duo of authors. They are the authors of more than 75 works of historical fiction. Eight of their books have won Gold Medallion Awards.
Over 35 million copies of their books have been sold in more than 20 languages."
506,Melody Carlson,"Melody Carlson is an American author. She has written over 250 books for women, teens and children, including the Diary of a Teenage Girl series."
507,Nino Lo Bello,Nino Lo Bello (1922–1997) was an American author and journalist who specialized in writing about the Vatican. He also wrote under the pseudonym Walter Hoffman.
508,Theodore Roethke,"Theodore Huebner Roethke was an American poet. He is regarded as one of the most accomplished and influential poets of his generation, having won the Pulitzer Prize for poetry in 1954 for his book The Waking, and the annual National Book Award for Poetry on two occasions: in 1959 for Words for the Wind, and posthumously in 1965 for The Far Field. His work was characterized by its introspection, rhythm and natural imagery."
509,Barracl,
510,Geoffrey Barraclough,"Geoffrey Barraclough was an English historian, known as a medievalist and historian of Germany."
511,Jan Pienkowski,"Jan Michał Pieńkowski was a Polish-born British author of children's books—as illustrator, as writer, and as designer of movable books. He is best known for illustrating the Meg and Mog picture book series. He also designed for the theatre. For his contribution as a children's illustrator he was UK nominee in 1982 and again in 2008 for the biennial, international Hans Christian Andersen Award, the highest recognition available to creators of children's books."
512,Owl Magazine,OWL Magazine is a popular Canadian children's magazine founded in 1976 by Young Naturalist Foundation members Annabel Slaight and Mary-Anne Brinkmann. It was designed to make children ages 8–12 “think beyond the printed page”.
514,Roger Hargreaves,"Charles Roger Hargreaves was an English author and illustrator of children's books. He created the Mr. Men series, Little Miss series and Timbuctoo series, intended for young readers. The simple and humorous stories, with bold, brightly coloured illustrations, have sales of over 85 million copies worldwide in 20 languages. The first title in the series, Mr. Tickle, was published in August 1971."
516,Jodie Ann Posserello,
517,George Woodard,"George Woodard is an actor, musician, and dairy farmer in Waterbury Center, Vermont. He experimented with acting in high school, taking part in high school and local summer stock plays and musicals, while rebuilding the family dairy business. Later he moved to Hollywood for approximately four years to explore acting. During this time, he worked on low budget and student films, learning the mechanics of film production along with screenplay writing, and directing. He also delivered JAN-AL ATA grade flight cases to various rock and roll royalty...to pay the bills. The need for someone to lead the operation of the Woodard family farm brought him home to Vermont. He took over the dairy business and has been doing it ever since. His job of dairy farming mixed with his acting career resulted in his being featured in an article for Premiere Magazine."
518,Roger Price,"Roger Price is the name of:Roger Price (humorist) (1918–1990), American humorist and publisher
Roger Price, English television producer
Roger Price, Australian former politician
Roger Price, member of the Parliament of England for Buckingham in the early 18th century
Roger Price, American minister and rector of King's Chapel (1729-1746)
"
519,Dale L. Nish,
520,Mel Odom,"Mel Odom may refer to:Mel Odom (author), author of science-fiction and fantasy novels
Mel Odom (artist), artist and designer of the Gene Marshall fashion doll
"
522,Neesa Hart,
524,Dandi Daley MacKall,
525,Greg Laurie,"Greg Laurie is an American evangelical author, pastor and evangelist who serves as the senior pastor of Harvest Christian Fellowship, based in Riverside, California. He also is the founder of Harvest Crusades. Laurie is also the subject of the 2023 film Jesus Revolution, which tells the story of how he converted to Christianity and got his start in ministry."
526,David A. Stoop,
527,Anne Degraaf,
528,Liz Curtis Higgs,
529,Pat Robertson,"Marion Gordon ""Pat"" Robertson was an American media mogul, religious broadcaster, political commentator, presidential candidate, and Southern Baptist minister. Robertson advocated a conservative Christian ideology and was known for his involvement in Republican Party politics. He was associated with the Charismatic movement within Protestant evangelicalism. He served as head of Regent University and of the Christian Broadcasting Network (CBN)."
530,"Nick and Allan, Rosie Allan",
531,Herbert Lockyer,"Herbert Lockyer (1886–1984) was a minister and best-selling author of over 50 books, including the 21-volume ""All"" series. He was educated at Glasgow Bible Institute, afterwards receiving honorary degrees at Northwestern Evangelical Seminary, and the International Academy in London. He was most influential, however, after crossing the Atlantic to preach and write in the United States."
532,Ronald Dunn,"Ronald Dunn may refer to:Ron Dunn, American baseball player
Ron Dunn (footballer) (1928–2011), Australian rules footballer
Ronald Dunn, Ecuadorian sports shooter
Ronnie Dunn, American singer-songwriter
Ronnie Dunn (footballer) (1908–1994), English footballer
"
533,Terry Hershey,"Terese (""Terry"") Tarlton Hershey was a conservationist and environmentalist. Hershey took part in the environmental movement in Texas, notably preventing the channelization of the Buffalo Bayou river in Houston. She has been called ""the environmental godmother of Houston."" President George H. W. Bush once called her ""a force of nature for nature."""
534,Bil Keane,"William Aloysius ""Bil"" Keane was an American cartoonist most notable for his work on the newspaper comic The Family Circus. It began in 1960 and continues in syndication, drawn by his son Jeff Keane."
536,JosÃ© Luis S. Ponce de LÃ©on,
537,Linda Grant,Linda Grant is an English novelist and journalist.
538,Laura Lanier,
539,Alice J. Davidson,
540,Philip A. Shreffler,
541,Frederic Prokosch,"Frederic Prokosch was an American writer, known for his novels, poetry, memoirs and criticism. He was also a distinguished translator."
542,Jim Toomey,"James Patrick Toomey is an American cartoonist famous for his comic Sherman's Lagoon. Toomey received his B.S.E. from Duke University's Pratt School of Engineering in 1983, an M.L.A. from Stanford University in 1995, and a Master's of Environmental Management from the Nicholas School of the Environment and Earth Sciences in 2008."
543,Joel S. Moskowitz,
544,Carol Strickland,Carol Ann Colclough Strickland is an American art historian who currently resides in New York City.
545,Jeane Dixon,"Jeane Dixon was one of the best-known American psychics and astrologers of the twentieth century, owing to her prediction of the assassination of President John F. Kennedy, her syndicated newspaper astrology column, some well-publicized predictions, and a best-selling biography."
546,Beverly Lahaye,"Beverly LaHaye is an American Christian conservative activist and author who founded Concerned Women for America (CWA) in San Diego, California in 1979. She was the wife of Tim LaHaye, the evangelical Christian minister and prolific author of the Left Behind series, until his death in 2016."
